status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
511585615610016_1079038242198081,เป็นตุ๊กตายางที่มีคนมาทิ้งไว้ข้างทาง #จบข่าว,คนขับแบ็กโฮสุดช็อก ตักเจอร่างจากคลอง แจ้งจนท.ตรวจสุดท้ายช็อกยิ่งกว่า!,link,https://www.khaosod.co.th/monitor-news/news_273661,2017-03-28 07:08:52,2050,50,46,1671,4,35,333,4,3
511585615610016_1079036288864943,"ขอร้องแล้วกัน โดยระบบเศรษฐกิจจะดีขึ้น ด้วยเศรษฐกิจขนาดใหญ่ การลงทุนในประเทศ การลงทุนในต่างประเทศ ต่างประเทศมาลงทุนในไทย คนไทยลงทุนในประเทศไทย และไปลงทุนต่างประเทศนี้คือระบบการค้าเสรี เราต้องส่งเสริมแบบนี้ ทั้งหมดคือเงินที่กลับมาบ้านเรา คือเงินภาษีที่กลับมาเลี้ยงดูประเทศ มาพัฒนาประเทศ ถ้าไม่มีหาวิธีการหาเงิน ประเทศเราจะเสียหายไปเรื่อยๆ เพราะมีแต่ใช้เงิน ใช้แล้วหายไปเฉยๆ อย่างภัยพิบัติ ปีหน้าก็กลับมาใหม่ ไม่มีอะไรเป็นถาวรวัตถุเกิดขึ้น หรือสร้างแล้วใช้ประโยชน์ไม่ได้ เราต้องกลับมาทบทวนใหม่ เราอยากได้แต่ต้องคำนึงสิ่งที่เราจะได้รับกับสิ่งที่เราจะทำด้วย และรัฐบาลต้องกลั่นกรองตรงนี้

พล.อ.ประยุทธ์ จันทร์โอชา, 27 มี.ค.60
ที่มา : นายกฯ ลั่น รัฐบาลนี้ไม่ทำอะไรผิดกฎหมาย ชี้ มีวิธีหาเงิน ไม่ทำประเทศเสียหาย http://www.matichon.co.th/news/509706",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1079036288864943/?type=3,2017-03-28 07:05:43,2455,238,222,1552,5,30,675,17,176
511585615610016_1078956528872919,"""ngoและสืีอ ขี้ข้าต่างชาติและนักการเมืองบางคน ที่โหมกระหน่ำใส่รัฐบาลจะว่ายังไง
หรือว่าเป็นแก๊งเดียวกัน""

- ไพศาล พืชมงคล, 28 มี.ค.60 เวลา 12.03 น

เมื่อมีคนตั้งประเด็นแย้ง : 

""รอสสอบกันก่อนไม่ดีกว่าที่จะไม่ปักใจเชื่อทางใดทางหนึ่งเดี๋ยวนี้""
- ไพศาล พืชมงคล, 28 มี.ค.60 เวลา 12.48 น
ที่มา : https://www.facebook.com/Paisal.Fanpage/posts/1242494179182585",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1078956528872919/?type=3,2017-03-28 04:33:38,900,40,27,612,0,12,197,5,74
511585615610016_1078933498875222,"ยืนยันว่ากรณีดังกล่าวเป็นการตั้งด่านตามปกติ สามารถตรวจสอบได้จากกล้องวงจรปิด CCTV อีกทั้งสถานที่ตั้งด่านเป็นที่แจ้ง ไม่ได้ลึกลับ ยืนยันว่าเจ้าหน้าที่ไม่มีอาวุธ เมื่อเจ้าหน้าที่พบรถเป้าหมายก็ไปตรวจค้นธรรมดา แต่มีพิรุธ จึงเชิญตัวออกมา จากนั้นก็ตรวจค้นรถอย่างละเอียด จนไปเจอแหล่งซ่อนยาเสพติด ขณะที่นายพงศ์นัย แสงตะล้า ที่ถูกกักตัวโดยเจ้าพนักงานของรัฐ ไม่ทราบว่ารถมียาเสพติด แต่ตัวผู้เสียชีวิต ทราบว่ามียาเสพติดจึงวิ่งหนี ก่อนเตรียมหันมาจะขว้างระเบิด แต่เจ้าหน้าที่จึงยิงป้องกันตัว1 นัด

พล.ท.วิจักขฐ์ สิริบรรสพ, 23 มี.ค.60
แม่ทัพภาคที่ 3
ที่มา : อึ้ง!!?? ""ถ้าเป็นผมอาจกดออโต้ไปแล้ว"" แม่ทัพภาค 3 http://www.komchadluek.net/news/regional/267050
-----

ขณะนี้กำลังอยู่ระหว่างการตรวจสอบดำเนินการ

พล.ต.จิรเดช กมลเพ็ชร, 25 มี.ค.60
ผบ.กกล.ผาเมือง ตอบคำถามผู้สื่อข่าวกรณีกล้องวงจรปิดที่หลายฝ่ายตั้งข้อสังเกต และเรียกร้องให้เปิดเผยกล้องวงจรปิดออกมา
ที่มา :  'กองกำลังผาเมือง'แถลงคดีวิสามัญ 'ชัยภูมิ ป่าแส' http://www.bangkokbiznews.com/news/detail/747115
-----

ภาพจากกล้องวงจรปิดทางกองทัพภาคที่ 3 ได้ส่งมอบให้แก่เจ้าหน้าที่ตำรวจเพื่อใช้เป็นพยานในชั้นศาลเรียบร้อยแล้วจึงไม่สามารถนำมาเผยแพร่ได้ ต้องให้ศาลเป็นผู้อนุญาตว่าจะเผยแพร่ได้หรือไม่ เพราะต้องใช้ในการต่อสู้ชั้นศาล อีกทั้งขณะนี้ตำรวจเป็นโจทก์ยื่นฟ้องคดี ยืนยันว่าทางกองทัพไม่เคยปิดบัง แต่ต้องขึ้นกับตำรวจและศาลว่าจะอนุญาตให้เผยแพร่หรือไม่ 

พล.ท.วิจักขฐ์ สิริบรรสพ, 27 มี.ค.60 
แม่ทัพภาคที่ 3
ที่มา : มทภ.3 โยนศาลอนุญาตเผยภาพนาทีสังหารหนุ่มลาหู่หรือไม่ บอกใครเจอแบบนั้นก็ต้องยิง http://www.manager.co.th/Politics/ViewNews.aspx?NewsID=9600000031196",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1078933498875222/?type=3,2017-03-28 03:44:34,1535,63,73,1034,4,18,271,22,186
511585615610016_1078517295583509,"""วันนี้ใครอยากจะด่ารัฐบาลก็ด่าไป ผมก็ไม่ขอรับอะไรทั้งสิ้น เพราะผมไม่ได้ทำ ส่วนไอ้คนด่าก็คงปวดท้องวันนี้ขอว่าอย่าทำให้สังคมเสียหายและอย่าทำให้ต่างประเทศเข้าใจผิดเมื่อเขาไม่เข้าใจเราหรือเข้าใจผิดเขาก็ไม่มา เขาก็ไม่ซื้อสินค้าเรา ผมขอถามว่าผมไปละเมิดสิทธิมนุษยชนตรงไหน ก็มีแต่บางคนเท่านั้นที่จะต่อต้านผมในต่างประเทศ ก็มีแต่คนไทยที่ไปพูดให้ประเทศเสียหายในต่างประเทศ ขอถามจริงๆว่าทำเพื่ออะไร เดี๋ยวผมก็ไปแล้วถึงเวลาเราก็ต้องไป แล้วจะทำไปทำไม ทำแล้วคิดว่าไล่ผมได้หรือ ทำแล้วคิดว่าผมจะไปหรือ ยิ่งทำก็ยิ่งอยู่ เอาให้รู้เรื่องกันไปเลย อยากรู้จริงๆ ว่าพวกคุณทำไปทำไม""

พล.อ.ประยุทธ์ จันทร์โอชา, 27 มี.ค.60
นายกรัฐมนตรีและหัวหน้าคณะรักษาความสงบแห่งชาติ (คสช.) 
ที่มา : ประยุทธ์ แช่งคนต่างประเทศจ้องด่า ขอให้ปวดท้อง ลั่น ยิ่งไล่ยิ่งอยู่เอาให้รู้กันไป!! http://www.matichon.co.th/news/509909",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1078517295583509/?type=3,2017-03-27 19:00:00,5133,529,794,3175,13,94,1303,60,488
511585615610016_1078510278917544,"""วันนี้ใครอยากจะด่ารัฐบาลก็ด่าไป ผมก็ไม่ขอรับอะไรทั้งสิ้น เพราะผมไม่ได้ทำ ส่วนไอ้คนด่าก็คงปวดท้อง วันนี้ขอว่าอย่าทำให้สังคมเสียหายและอย่าทำให้ต่างประเทศเข้าใจผิดเมื่อเขาไม่เข้าใจเราหรือเข้าใจผิดเขาก็ไม่มา เขาก็ไม่ซื้อสินค้าเรา""
 
พล.อ.ประยุทธ์ จันทร์โอชา, 27 มี.ค.60
นายกรัฐมนตรีและหัวหน้าคณะรักษาความสงบแห่งชาติ (คสช.) 
ที่มา : ประยุทธ์ แช่งคนต่างประเทศจ้องด่า ขอให้ปวดท้อง ลั่น ยิ่งไล่ยิ่งอยู่เอาให้รู้กันไป!! http://www.matichon.co.th/news/509909",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1078510278917544/?type=3,2017-03-27 12:55:19,3112,176,195,1958,10,53,964,10,117
511585615610016_1078365772265328,"ภาพจากกล้องวงจรปิดทางกองทัพได้ส่งมอบให้กับตำรวจเพื่อใช้เป็นพยานในชั้นศาลเรียบร้อยแล้ว จึงไม่สามารถนำมาเผยแพร่ได้ ต้องให้ศาลเป็นผู้อนุญาตว่าจะเผยแพร่ได้หรือไม่ เพราะต้องใช้ในการต่อสู้ชั้นศาล  ทางกองทัพไม่เคยปิดบัง 

พล.ท.วิจักขฐ์  สิริบรรสพ, 27 มี.ค.60
แม่ทัพภาคที่ 3 กล่าวถึงการเผยแพร่ภาพกล้องวงจรปิดกรณีวิสามัญฯ 'ชัยภูมิ ป่าแส' 
ที่มา : พล.อ.ประวิตร ไม่วิจารณ์คำพูดแม่ทัพภาคที่ 3 ชี้ต่างความคิด http://www.tnamcot.com/view/58d8c8e2e3f8e421ed80908b",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1078365772265328/?type=3,2017-03-27 08:54:26,1680,114,98,1019,2,27,398,18,216
511585615610016_1078250508943521,"""เปิดวงจรปิด มันยาก  ...   ปิดช่องเสียเลย ง่ายกว่า"" #มิตรหายท่านหนึ่ง",ไข่แมว,photo,https://www.facebook.com/cartooneggcat/photos/a.136226233446771.1073741828.136187606783967/330082387394487/?type=3,2017-03-27 05:31:19,6157,62,0,5095,6,35,621,87,313
511585615610016_1077693085665930,"""ถ้าคิดจะยิงใคร ต้องยิงแม่งให้ตาย ถ้าแม่งไม่ตาย เราตาย""

หมู่เชียร 
กล่าวกับแดง ไบเลย์ ใน 2499 อันธพาลครองเมือง https://www.youtube.com/watch?v=vj1ZXB3Cpf8",Movie Quote 4,photo,https://www.facebook.com/quoteV2/photos/a.562759163825994.1073741856.511585615610016/1077693085665930/?type=3,2017-03-26 11:21:07,4516,74,207,4158,54,30,264,8,2
511585615610016_1077407522361153,"""น้อง ๆ ถามพี่โจวมามากเหลือเกินว่าเอ๊ะพี่โจวอยากจะลองคราฟท์เบียร์ที่มีกลิ่นฮอบหอมอ่อน ๆ หรือฉุน ๆ ไปเลยนะ พี่โจวบอกตรง ๆ เลยว่าพี่โจวอยากลองตัวเนร้มากกว่าอ่ะครับ สีสันทางบอมเบย์แซฟไฟร์เหมือนกัน"" - พี่โจว บ.ก.สำนักสื่อสาธารณะหมูหลุม",สำนักสื่อสาธารณะหมูหลุม,link,http://prachatai.org/journal/2017/03/70758,2017-03-26 04:36:58,399,22,0,328,1,11,59,0,0
